1950;151868
1951;153982
1952;156393
1953;158956
1954;161884
1955;165069
1956;168088
1957;171187
1958;174149
1959;177135
1960;179979
1961;182992
1962;185771
1963;188483
1964;191141
1965;193526
1966;195576
1967;197457
1968;199399
1969;201385
1970;203984
1971;206827
1972;209284
1973;211357
1974;213342
1975;215465
1976;217563
1977;219760
1978;222095
1979;224567
1980;227225
1981;229466
1982;231664
1983;233792
1984;235825
1985;237924
1986;240133
1987;242289
1988;244499
1989;246819
1990;249623
